,ret,VaR_GJR_1%,VaR_GJR_5%,VaR_GARCH_1%,VaR_GARCH_5%
2025-03-26,-1.1785412954611896,-2.4741248509412976,-1.7493399332116057,-2.6382671067082426,-1.8653973757579287
2025-03-27,-0.7042951652534196,-2.7034333273919864,-1.9114734143600964,-2.66252832193942,-1.8825513656287285
2025-03-28,-0.9624330075722682,-2.6497598277649295,-1.8735233504346214,-2.5488929678800782,-1.8022050312046527
2025-03-31,-1.335725099134046,-2.7168955972979254,-1.9209919664772914,-2.5191789121604007,-1.7811955885209778
2025-04-01,1.6844291067936223,-2.982800854175231,-2.1090013485136865,-2.627582389425462,-1.857842703401466
2025-04-02,-0.6638702418994303,-2.8301215487844793,-2.0010488311645975,-2.858712933826635,-2.021264485027434
2025-04-03,-3.053858879899945,-2.739881895102967,-1.9372445208509137,-2.709176450949642,-1.9155341129852903
2025-04-04,-5.079904634021626,-4.443540859319344,-3.141823448039557,-3.6878214294875002,-2.6074889837113795
2025-04-07,-4.215679015036202,-7.480421529032156,-5.289062147778512,-5.745014543680568,-4.062035654473251
2025-04-08,2.4490473209217876,-8.527908924606503,-6.0296923265331825,-6.49475524668255,-4.592142835934413
2025-04-09,-3.050857432892815,-7.714835210664934,-5.454805284797389,-6.26978909338323,-4.433079611846195
2025-04-10,4.434082340157803,-7.8874759663435485,-5.5768716259092885,-6.309070372069858,-4.460853598032862
2025-04-11,-0.9215769469908788,-7.315730401174539,-5.17261662301149,-7.015487748718425,-4.960328847236946
2025-04-14,2.8104705250541526,-6.686205160814844,-4.727508268230255,-6.3681409769642014,-4.5026197069587415
2025-04-15,1.4161788652361234,-6.1298738359699225,-4.334151965989698,-6.296673173338134,-4.452088108775878
2025-04-16,0.2693326719099483,-5.556342435217454,-3.928634280855349,-5.819040597899421,-4.114376074033671
2025-04-17,-0.4946758717852925,-5.01544536557105,-3.5461908308695484,-5.2503799850720565,-3.7123022991047203
2025-04-22,0.4125708579375617,-4.568300932699001,-3.2300355600315656,-4.756365644603599,-3.3630074714682427
2025-04-23,3.0909115511265095,-4.14083512527798,-2.927794140517253,-4.314270423132534,-3.050422265872362
2025-04-24,0.4658071542978405,-3.965118466363603,-2.803552969643239,-4.849051296913222,-3.4285412349560893
2025-04-25,0.80321653239071,-3.6014003356086346,-2.5463846014743186,-4.406676628593626,-3.115758445341294
